Material,Pressure,Spacing,Sample,Alpha,Beta,R_c,Error
PTFE,0.1,2,4,380.7522186,22.0833461,0.238168171,0.061710556
PTFE,0.1,3,3,146.2931739,10.80742045,1.19155136,0.015438256
PTFE,0.1,4,3,295.9734094,22.09680641,0.506307913,0.052337034
PTFE,0.1,5,3,273.126882,10.78119766,1.232170055,0.001913123
PTFE,0.1,6,1,115.3497371,5.149913381,1.427036206,0.070833718
PTFE,0.1,7,2,168.0725678,5.180282734,1.099089919,0.039952057
PTFE,0.1,8,2,142.2902026,5.195647968,0.795105231,0.088457122
PTFE,0.1,9,3,210.2491866,5.184909154,1.033449593,0.093693641
PTFE,0.1,10,2,313.3304421,10.67279414,1.904451586,0.099930829
PTFE,0.1,11,2,172.7350768,5.086444027,1.644526646,0.099089444
PTFE,0.1,12,2,179.2706942,5.176632049,1.186618723,0.045945434
PTFE,0.3,1,2,208.239904,44.27651932,6.883105319,0.06173249
PTFE,0.3,3,2,195.8894383,10.30941336,3.568308861,0.029366623
PTFE,0.3,4,1,193.9527334,5.121631064,1.506200415,0.004419251
PTFE,0.3,5,4,275.1637173,5.1169875,1.503695856,0.091459137
PTFE,0.3,6,4,216.8233334,2.327059721,1.48878676,0.015384756
PTFE,0.3,7,2,271.0216208,4.922506527,2.088295293,0.039123722
PTFE,0.3,8,4,225.8949506,4.823859875,2.313111631,0.093326719
PTFE,0.3,9,1,214.3146898,2.321906613,1.502556372,0.068259379
PTFE,0.3,10,1,265.9757537,2.409555146,1.114692151,0.050208917
PTFE,0.3,11,3,369.6325696,5.091672195,1.58673089,0.055041105
PTFE,0.3,12,4,366.6104787,4.601896374,2.64112547,0.003657066
PTFE,0.4,2,1,201.4091831,2.399420954,0.795987759,0.042719446
PTFE,0.4,3,3,211.2956683,1.334698097,2.37403682,0.004952447
PTFE,0.4,4,2,259.4735546,10.60015555,2.62913779,0.00295826
PTFE,0.4,5,2,366.4239262,21.85356728,4.262480335,0.072758603
PTFE,0.4,6,2,195.3096804,4.987310086,2.154586734,0.010096617
PTFE,0.4,7,4,241.2143927,8.953534045,6.472134496,0.018936886
PTFE,0.4,8,1,200.2113396,1.962108997,2.036506767,0.047661328
PTFE,0.4,9,1,204.8922174,2.121283315,1.861814207,0.008093268
PTFE,0.4,10,1,229.7977441,2.045353251,1.952489675,0.087959885
PTFE,0.4,11,3,212.8946913,2.207269649,1.736545989,0.048349914
PTFE,0.4,12,4,209.9233942,2.123002716,1.85957251,0.025822521
PTFE,0.5,1,2,270.2413582,44.52816073,4.763736416,0.084484385
PTFE,0.5,3,3,284.4719579,44.2614465,6.688963517,0.035474965
PTFE,0.5,4,1,416.0226454,10.65202296,2.066755748,0.003073343
PTFE,0.5,5,4,209.352694,2.412364091,1.072302655,0.021969514
PTFE,0.5,6,4,296.9531073,10.26703558,4.193718744,0.02747933
PTFE,0.5,7,1,238.9627872,4.929957147,2.317897393,0.011152519
PTFE,0.5,8,3,334.1415347,10.70838834,1.942015623,0.035486689
PTFE,0.5,9,4,436.1242538,5.035185895,1.776786283,0.00064805
PTFE,0.5,10,4,229.7937889,2.273480571,1.615018077,0.007984814
PTFE,0.5,11,2,211.3494954,1.921022481,2.073181061,0.026022947
PTFE,0.5,12,3,221.8772927,1.804220819,2.16328366,0.005426767
PTFE,0.6,2,3,313.3755879,44.14550543,7.650573426,0.071455307
PTFE,0.6,3,1,310.4158272,21.46399021,5.903097751,0.012725969
PTFE,0.6,4,4,406.4953192,21.9543685,3.368317972,0.085583273
PTFE,0.6,5,1,238.2831084,4.514201348,2.828254192,0.083252865
PTFE,0.6,6,1,196.8014634,1.683243152,2.238215973,0.087172525
PTFE,0.6,7,1,189.4846332,1.271631483,2.387881961,0.005104718
PTFE,0.6,8,3,183.0926813,1.289509467,2.384263078,0.004361625
PTFE,0.6,9,3,190.7109945,1.317849845,2.37803174,0.021535149
PTFE,0.6,10,3,187.6169126,1.258833444,2.390325591,0.012605526
PTFE,0.6,11,3,188.3902474,1.31634344,2.378378333,0.05093584
PTFE,0.6,12,3,183.0054239,1.186542316,2.401856613,0.078195844
PTFE,0.7,1,4,329.8946329,44.10470753,7.676231239,0.007934861
PTFE,0.7,2,1,202.1803827,2.411928579,1.08035974,0.025547973
PTFE,0.7,3,4,213.861461,2.398470672,1.210427608,0.008627887
PTFE,0.7,4,3,242.9589346,4.872036646,2.547765758,0.096756933
PTFE,0.7,5,3,207.371064,2.123234099,1.859270131,0.002682739
PTFE,0.7,6,3,198.3487433,1.885800168,2.102432792,0.005953098
PTFE,0.7,7,1,192.4494358,1.340078495,2.372715053,0.005406294
PTFE,0.7,8,3,178.9353809,1.14693542,2.406559626,0.035017713
PTFE,0.7,9,3,187.3206467,1.341432003,2.372379025,0.086269139
PTFE,0.7,10,2,178.0651962,1.080867953,2.411899562,0.077142623
PTFE,0.7,11,4,181.674302,1.028583926,2.413924665,0.081470969
PTFE,0.7,12,3,181.5926663,0.973681311,2.413968644,0.088559027
PTFE,0.8,1,1,291.5466262,21.76615202,4.713315117,0.056818568
PTFE,0.8,2,4,266.9579836,10.60985182,2.963593535,0.018565016
PTFE,0.8,3,1,251.1399252,4.805878747,2.610852965,0.000106671
PTFE,0.8,4,2,244.6679411,5.030473821,2.193782966,0.077639286
PTFE,0.8,5,3,278.2236206,4.621841778,3.02960568,0.046222743
PTFE,0.8,6,1,282.4237994,1.856672411,2.125216593,0.001088236
PTFE,0.8,7,3,179.1303866,1.238795487,2.393906997,0.010345983
PTFE,0.8,8,1,179.6008375,1.108651925,2.410033602,0.067952089
PTFE,0.8,9,4,184.9882068,1.114644955,2.409558986,0.087699134
PTFE,0.8,10,4,184.9563659,0.981472808,2.414092198,0.090048519
PTFE,0.8,12,1,282.8245567,1.137851441,2.407478945,0.067729553
PTFE,0.9,1,4,196.6532686,43.96126896,8.48101075,0.026400089
PTFE,0.9,2,4,218.8706353,2.380197801,0.691691663,0.060669551
PTFE,0.9,3,1,211.7801042,4.667951298,2.487214289,0.096647161
PTFE,0.9,4,2,226.6636642,4.813103369,2.370387093,0.014342516
PTFE,0.9,5,2,204.4086991,8.50605953,7.163959122,0.051989161
PTFE,0.9,6,4,191.3330288,1.561251008,2.298074461,0.038504
PTFE,0.9,7,3,183.3015763,1.437326594,2.344896074,0.003849191
PTFE,0.9,8,3,180.8632189,1.291292079,2.383889058,0.06771175
PTFE,0.9,9,4,199.5094685,1.190533192,2.401319772,0.076199793
PTFE,0.9,10,3,224.3537919,1.334481178,2.374089641,0.024476533
PTFE,0.9,11,1,175.3551714,1.004476397,2.414206478,0.083497277
PTFE,0.9,12,4,226.0727293,1.237947181,2.394052058,0.0893015
PTFE,1,1,4,235.0238878,44.1739378,7.336046085,0.023604591
PTFE,1,2,2,282.1487251,44.20410771,7.457523641,0.062341333
PTFE,1,3,1,288.1650211,4.862028086,2.170810599,0.050377803
PTFE,1,4,3,400.6455185,2.245271332,1.670297927,0.043533108
PTFE,1,5,3,246.119787,2.089330412,1.901864322,0.015231523
PTFE,1,6,3,276.806283,2.160604815,1.808081966,0.085300924
PTFE,1,7,3,277.685857,1.948498914,2.048975601,0.05062105
PTFE,1,8,4,294.2982847,1.806140379,2.161954254,0.090612156
PTFE,1,9,2,276.6914324,0.998124331,2.414212319,0.096187342
PTFE,1,10,4,290.7205449,1.325799676,2.376173888,0.036027603
PTFE,1,12,1,395.1897423,0.998038419,2.414212202,0.012505198
