Material,Pressure,Spacing,Sample,Alpha,Beta,R_c,Error
PVC,1,1,1,247.2022148,21.81903745,4.445781461,0.065991296
PVC,1,2,3,269.6941983,10.64756314,2.889653234,0.085828908
PVC,1,3,3,372.3903679,2.385863813,0.718252786,0.012107191
PVC,1,4,1,359.7596141,2.264393665,1.633489274,0.085471665
PVC,1,5,4,319.013032,0.994793528,2.414203978,0.035951048
PVC,1,6,2,303.6721389,3.97021047,3.396463422,0.021916309
PVC,1,7,4,239.7332638,1.789172811,2.173544321,0.076504952
PVC,1,8,2,248.0214127,1.672087134,2.244306588,0.080347398
PVC,1,9,4,216.0482647,1.194896346,2.400719606,0.063195097
PVC,1,10,3,224.2075752,0.98090381,2.414084628,0.011342594
PVC,1,11,3,288.7473467,0.984095878,2.414124131,0.087216781
PVC,0.9,1,2,234.323476,21.68597437,4.351345317,0.020566727
PVC,0.9,2,1,237.5692789,2.380524006,0.693155628,0.046069652
PVC,0.9,3,3,242.3619319,4.417603491,2.957401324,0.004801792
PVC,0.9,4,1,199.2950835,2.397885134,1.21428288,0.029367307
PVC,0.9,5,1,197.8140261,1.93511498,2.060924113,0.08824857
PVC,0.9,6,2,200.0467768,1.666226948,2.247454069,0.092208329
PVC,0.9,7,2,183.5321137,1.327674637,2.375728655,0.015099053
PVC,0.9,8,3,178.2622212,1.504050559,2.321337593,0.090622484
PVC,0.9,9,3,181.697957,1.380562708,2.362046998,0.058133628
PVC,0.9,10,1,226.0676448,1.331591421,2.374789849,0.049262242
PVC,0.9,11,3,223.867892,1.260604523,2.389994706,0.013312359
PVC,0.9,12,3,212.6125121,1.306466683,2.3806079,0.092101052
PVC,0.8,1,1,197.570891,10.22300865,4.299192352,0.00917444
PVC,0.8,2,4,210.376059,4.846434022,2.66018858,0.079914674
PVC,0.8,3,2,248.4268873,10.40380424,3.865833558,0.06167956
PVC,0.8,4,4,250.2462031,4.570793053,3.046191219,0.041530199
PVC,0.8,5,3,176.3042472,1.834655089,2.141643939,0.007455434
PVC,0.8,6,1,233.2921254,1.698525651,2.229659268,0.048895635
PVC,0.8,7,4,225.7463157,1.329630902,2.375261236,0.073712899
PVC,0.8,8,2,180.2234832,1.223771603,2.396397604,0.08627873
PVC,0.8,9,4,265.0607876,1.170328832,2.403918833,0.084280396
PVC,0.8,10,3,175.5012714,0.978382623,2.414048333,0.06431621
PVC,0.7,1,3,209.9486038,10.30762398,3.85775819,0.016608552
PVC,0.7,2,3,220.6203841,4.845326631,2.223933382,0.01447714
PVC,0.7,3,4,226.0859716,10.02136742,4.862776631,0.015563301
PVC,0.7,4,1,208.5427412,4.586910365,3.035413068,0.05258513
PVC,0.7,5,2,224.5155568,4.765194403,2.813263297,0.065450404
PVC,0.7,6,3,251.9279267,2.03187199,1.967078175,0.02748251
PVC,0.7,7,4,183.8696754,1.421562183,2.349920489,0.084221041
PVC,0.7,8,2,179.2540146,1.343550656,2.371850191,0.001641223
PVC,0.7,9,3,181.1248851,1.22821557,2.395678206,0.044902674
PVC,0.7,10,4,186.210019,1.237420232,2.394141899,0.073185315
PVC,0.7,11,2,178.2100639,1.061836678,2.412861007,0.085297774
PVC,0.7,12,4,179.5290716,0.982292121,2.414102695,0.094600038
PVC,0.6,1,3,226.8161637,2.37467784,0.66794453,0.073717903
PVC,0.6,2,3,197.2607164,2.407583003,0.863215174,0.001265108
PVC,0.6,3,2,201.2953463,5.085178272,1.877198035,0.071013094
PVC,0.6,4,2,191.8482676,4.795754586,2.611351445,0.001822255
PVC,0.6,5,1,189.5718817,2.240818262,1.678505741,0.013341876
PVC,0.6,6,3,187.6456729,1.529673337,2.311276537,0.036845356
PVC,0.6,7,1,194.8027078,1.744027988,2.202673004,0.042939426
PVC,0.6,8,1,185.2928795,1.285684334,2.385057566,0.00535169
PVC,0.6,9,2,193.0189435,1.648344691,2.256840945,0.084637449
PVC,0.6,10,1,182.1954737,1.250220385,2.39190149,0.070203024
PVC,0.6,11,1,187.2258545,1.158940593,2.405253674,0.059534482
PVC,0.6,12,1,175.1423773,1.20366521,2.399471501,0.091170725
PVC,0.5,1,2,220.6338638,44.58337759,4.235314088,0.00430711
PVC,0.5,2,2,200.6801698,10.76215545,1.647969533,0.009888671
PVC,0.5,3,1,255.1609017,21.40659068,5.818705426,0.0360469
PVC,0.5,4,2,309.1212266,5.183051674,1.091718025,0.020499884
PVC,0.5,5,3,249.8305039,19.60871131,10.64826521,0.062675093
PVC,0.5,6,1,342.352924,22.01345215,2.66990789,0.094556196
PVC,0.5,7,1,434.4492875,10.28793837,3.203973722,0.093475901
PVC,0.5,8,3,342.670648,4.709565002,2.480698134,0.083575175
PVC,0.5,9,2,230.501455,2.313590942,1.52390728,0.012624058
PVC,0.5,10,4,235.8303109,2.258046884,1.646001578,0.035875897
PVC,0.5,11,3,299.5858204,2.38911175,1.265270703,0.073733527
PVC,0.5,12,1,196.1757264,2.000140449,1.999859531,0.094191063
PVC,0.4,2,2,208.5280448,10.6313602,2.833604619,0.018940361
PVC,0.4,5,1,198.3532412,2.391697719,1.251351265,0.061236802
PVC,0.4,6,1,164.97652,4.702124204,2.971048025,0.012906251
PVC,0.4,7,4,190.834626,2.271653804,1.618786395,0.012323158
PVC,0.4,8,3,234.4668922,4.742571763,2.758625418,0.028088802
PVC,0.4,9,3,170.4823696,2.193907577,1.758013652,0.058736786
PVC,0.4,10,2,194.4058992,2.204134919,1.741659691,0.012633629
PVC,0.4,11,1,189.9160184,1.362884613,2.366863109,0.091413904
PVC,0.4,12,2,189.6644808,2.20859734,1.734365352,0.028299141
